,subject,grade,season,number,teacher
0,テクニカルライティング,１年次,後期,1AAB05A0,ミツダケンロウ
1,テクニカルライティング,１年次,後期,1AAB05B0,アラキヒデオ
2,ディジタル回路,１年次,後期,1AAB07A0,マキノヒロシ
3,アセンブリ言語,２年次,後期,1AAB18A0,ヌノムラヤスヒロ
4,アセンブリ言語,２年次,後期,1AAB18B0,ヒラオカカズタケ
5,組み込みシステム基礎,２年次,前期,1AAB23A0,コマツノブオ
6,アセンブリ言語,２年次,後期,1AAD10B0,ヒラオカカズタケ
7,組み込みシステム基礎,１年次,前期,1AAG10A0,コマツノブオ
8,情報技術者論,３年次,後期,1AAG14A0,オザキアツオ
9,Ｃ演習Ⅰ,１年次,後期,1AAH03A0,ミズタニヤスハル
10,コンピュータ科学基礎演習,３年次,前期,1AAH07A0,コタニナオキ
11,コンピュータ科学専門演習,３年次,後期,1AAH08A0,カマクラヨシナリ
12,情報ゼミナール,３年次,後期,1AAK01A0,カマクラヨシナリ
13,計算機アーキテクチャ,２年次,前期,1AAL02A0,ナカニシチカコ
14,オペレーティングシステム,２年次,後期,1AAL07A0,ニシグチサトシ
15,情報技術者論,２年次,後期,1AAL27A0,コウダトモコ
16,Ｃ演習Ⅰ,１年次,後期,1AAN03A0,ミズタニヤスハル
17,情報科学演習Ⅰ,２年次,後期,1AAN07A0,マキノヒロシ
18,情報科学演習Ⅱ,３年次,前期,1AAN08A0,オクノヒロツグ
19,情報科学演習Ⅲ,３年次,後期,1AAN09A0,カマクラヨシナリ
20,線形数学Ⅰ,１年次,前期,1ABA01A0,ヒラシマヨウイチ
21,線形数学Ⅰ,１年次,前期,1ABA01B0,オガタナオコ
22,線形数学Ⅰ,１年次,後期,1ABA01C0,オガタナオコ
23,微積分学Ⅰ,１年次,前期,1ABA03A0,シンカイヒサアキ
24,微積分学Ⅰ,１年次,前期,1ABA03B0,サイトウヨウスケ
25,微積分学Ⅰ,１年次,後期,1ABA03C0,オガタナオコ
26,情報数学,２年次,後期,1ABA05A0,チサキショウコ
